product_id,name,price,stock,category_id,image,created_at
51,Perfume Axe 150ml,1100,20,7,perfume_axe_150ml.jpg,2025-12-02 23:55:24
52,Multivitamins 30 Tabs,950,35,7,multivitamins_30_tabs.jpg,2025-10-04 12:59:52
53,Basmati Rice 5kg,1800,25,8,basmati_rice_5kg.jpg,2026-02-22 01:36:55
54,Olive Oil 750ml,1400,20,8,olive_oil_750ml.jpg,2026-05-09 10:40:30
55,Green Tea 100 Bags,650,30,8,green_tea_100_bags.jpg,2025-05-27 00:17:00
56,Honey Pure 500g,1100,15,8,honey_pure_500g.jpg,2026-04-20 00:29:29
57,A4 Paper Ream 500,950,40,9,a4_paper_ream_500.jpg,2025-08-28 03:12:55
58,Ball Pen Box 50pcs,600,50,9,ball_pen_box_50pcs.jpg,2025-11-10 02:12:09
59,Highlighter Set 6,450,45,9,highlighter_set_6.jpg,2025-11-11 21:44:59
60,Notebook A4 Hardcover,380,60,9,notebook_a4_hardcover.jpg,2026-04-17 03:00:03
61,iPhone 13 128GB,195000,3,10,iphone_13_128gb.jpg,2025-06-05 20:37:46
62,Xiaomi Redmi Note 12,52000,8,10,xiaomi_redmi_note_12.jpg,2026-04-20 13:06:31
63,Oppo A78 128GB,48000,10,10,oppo_a78_128gb.jpg,2025-08-26 23:34:32
64,Samsung A14 64GB,38000,12,10,samsung_a14_64gb.jpg,2026-03-30 23:53:51
